year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,diaSemana,data,fuso_horario,zona
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f23el318522,ny,48,18426,white,black,ford motor credit company,12250,12300,Monday,06-01-2014 09:50:00,GMT-0800,PST
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f26el273219,ga,45,22744,gray,black,avis budget group,12100,12000,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h90er308016,ga,48,19516,red,black,avis budget group,16750,17400,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k94er279077,fl,47,17685,white,black,avis budget group,19850,21200,Tuesday,07-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h71e5389688,ga,48,18079,red,black,avis budget group,15850,16800,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k99er261089,ga,47,20829,white,black,avis budget group,19600,20500,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em8e5322861,ga,46,17835,white,black,avis budget group,17700,19400,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5323113,ga,46,17738,black,gray,avis budget group,17700,18600,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e83eg165408,ga,48,14035,white,tan,ford motor credit company,18100,19400,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e85eg165412,ga,48,23395,silver,beige,ford motor credit company,16950,17900,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f83eg163575,ga,47,14163,white,black,avis budget group,20800,21500,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f80eg149620,ga,47,28127,black,beige,avis budget group,18900,19900,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg165415,ga,48,14339,silver,black,ford motor credit company,20800,21500,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Kia,Rio,LX,Sedan,automatic,knadm4a34e6372626,fl,38,12154,black,beige,kia motors america  inc,11150,10500,Friday,14-02-2014 09:40:00,GMT-0800,PST
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk5er802860,ga,48,4713,silver,black,ford motor credit company,26800,29400,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4eu314607,sc,3,36029,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15600,13500,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc7dba02369,ny,48,32466,gray,gray,ford motor credit company llc,22400,24500,Monday,06-01-2014 09:50:00,GMT-0800,PST
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx9duc41165,ga,46,23744,black,black,ford motor credit company llc pd,15400,16000,Monday,06-01-2014 09:30:00,GMT-0800,PST
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d82dgb46434,ga,5,15220,white,gray,ford motor credit company llc pd,27500,29200,Monday,06-01-2014 09:30:00,GMT-0800,PST
2013,Ford,Escape,SE,SUV,automatic,1fmcu0g96duc26477,tx,34,36348,silver,gray,avis budget group,14500,13500,Tuesday,07-01-2014 00:00:00,GMT-0800,PST
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f20dl230154,ny,48,22693,white,black,ford motor credit company llc,11600,13500,Monday,06-01-2014 09:50:00,GMT-0800,PST
2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab4dh638023,sc,34,33069,gray,gray,palmetto health credit union,16000,16000,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk8dbl22130,ny,49,19945,gray,tan,ford motor credit company llc,28200,29400,Monday,06-01-2014 00:00:00,GMT-0800,PST
2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk5dbl19492,ny,5,10454,white,black,ford motor credit company llc,30200,31200,Monday,06-01-2014 09:50:00,GMT-0800,PST
2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc0c7199389,sc,25,50457,white,black,the hertz corporation,9750,8900,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc8cba12787,ca,32,57326,gray,black,ford motor credit company llc pd,16900,16100,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
2014,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek8es560059,sc,28,34169,black,gray,enterprise veh exchange/rental,15800,15000,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k21cl317874,ny,5,33053,gray,black,ford motor credit company llc,10100,9700,Monday,06-01-2014 09:50:00,GMT-0800,PST
2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc6cr811980,ny,44,29782,gray,black,ford motor credit company llc,16100,15800,Monday,06-01-2014 09:50:00,GMT-0800,PST
2014,Chevrolet,Impala,LTZ,Sedan,automatic,2g1155s38e9118877,fl,5,12974,silver,black,gm remarketing,26300,16200,Sunday,12-01-2014 13:00:00,GMT-0800,PST
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ct3bfc43631,ga,43,80930,white,beige,ford motor credit company llc pd,17900,19000,Monday,06-01-2014 09:30:00,GMT-0800,PST
2011,Kia,Sedona,EX,Minivan,automatic,kndmh4c73b6387198,sc,34,54167,black,gray,select auto sales,12950,14000,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2011,MINI,Cooper,S,Hatchback,manual,wmwsv3c50bty20273,sc,44,74534,gray,black,graham motor co,10650,10700,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f120065991,mi,45,37949,gold,beige,tdaf remarketing/gateway auto & truck,9775,9900,Wednesday,08-01-2014 09:30:00,GMT-0800,PST
2003,Mercedes-Benz,C-Class,C240,Sedan,automatic,wdbrf61j93e009902,nc,28,1,gold,gray,north state acceptance,5950,3600,Sunday,05-01-2014 09:30:00,GMT-0800,PST
2014,Ford,Expedition,XLT,SUV,automatic,1fmju1j5xeef49087,il,41,10708,blue,tan,ford motor credit company,33700,33400,Monday,13-01-2014 11:00:00,GMT-0800,PST
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24afxfh005731,ga,44,20201,red,gray,hyundai motor america,14450,15700,Monday,06-01-2014 09:30:00,GMT-0800,PST
2014,Toyota,Prius,Two,Hatchback,automatic,jtdkn3du7e0364982,pa,46,45753,gray,gray,enterprise veh exchange/rental,15350,15300,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbgxdr716334,fl,38,27709,red,gray,wells fargo dealer services,13100,13000,Monday,06-01-2014 09:30:00,GMT-0800,PST
2013,Ford,Escape,S,SUV,automatic,1fmcu0f78dua99019,oh,44,24094,gray,black,ford motor credit company llc,14050,14600,Monday,06-01-2014 09:00:00,GMT-0800,PST
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx1dub21795,oh,44,17448,gray,gray,ford motor credit company llc,15850,16000,Monday,06-01-2014 09:00:00,GMT-0800,PST
2013,Ford,Escape,S,SUV,automatic,1fmcu0f75duc02168,oh,42,24235,black,gray,ford motor credit company llc,14000,14800,Monday,06-01-2014 09:00:00,GMT-0800,PST
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hx6duc33720,il,46,19209,silver,gray,ford motor credit company llc,18200,18600,Wednesday,08-01-2014 10:00:00,GMT-0800,PST
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0h90duc21662,oh,5,10045,black,black,ford motor credit company llc,20200,19100,Monday,06-01-2014 09:00:00,GMT-0800,PST
2012,Ford,Explorer,XLT,SUV,automatic,1fmhk7d80cga92644,oh,42,36112,silver,black,ford motor credit company llc,22100,21000,Monday,06-01-2014 09:00:00,GMT-0800,PST
2011,Ford,Edge,SEL,SUV,automatic,2fmdk3jc6bbb38015,oh,44,30295,white,black,ford motor credit company llc,18550,19300,Monday,06-01-2014 09:00:00,GMT-0800,PST
2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5slxef160832,sc,28,36385,black,gray,enterprise veh exchange/rental,14200,13300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl4ef137451,sc,27,27495,black,black,enterprise veh exchange/rental,14800,13800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab5en141595,sc,2,28176,burgundy,silver,enterprise vehicle exchange / tra / rental / tulsa,11500,9700,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43r48h231886,sc,19,154031,silver,black,south carolina state credit union,3950,3800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er131861,sc,2,28905,white,tan,enterprise vehicle exchange / tra / rental / tulsa,18450,13600,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
2008,Volvo,S40,2.4i,Sedan,automatic,yv1ms390682402390,sc,18,125660,black,black,carolina trust fcu,5275,1000,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
